"","MeanDecreaseGini"
"Concurrent.Credits",7.17449073707166
"No.of.Credits.at.this.Bank",7.24485887639433
"Type.of.apartment",7.8993847714837
"Occupation",11.6467921227865
"Instalment.per.cent",12.3107564540001
"Sex...Marital.Status",13.488262052224
"Duration.in.Current.address",13.6725421601624
"Most.valuable.available.asset",14.188669599306
"Value.Savings.Stocks",15.3424727713814
"Length.of.current.employment",17.7623109981177
"Payment.Status.of.Previous.Credit",19.7261062295192
"Purpose",21.7592563005098
"Duration.of.Credit..month.",33.4275207928438
"Age..years.",35.4710952239313
"Account.Balance",38.1511343960841
"Credit.Amount",46.6390352760884
